parameter,value1,value2
[SINGLE REFLECTANCE MEASUREMENT], , 
author,Gauthier Patin, 
date_time,2022-12-02 11:25:17, 
project,1.1_stereo-MFT, 
[SAMPLE DATA], , 
sample_type,BWS, 
sample_nb,nb.0097, 
name,BW1, 
pigment,C.I. Acid Blue 104, 
binding,unknown, 
colour,blue, 
ratio,1, 
thickness_microns,unknown, 
sample_support,wool, 
sample_date,2019, 
comments,, 
[DEVICE DATA], , 
device,Tidas_S 400, 
geometry,45° : 0°, 
option,E.1.1x4.0, 
lamp,"HAL3_Ocean Optics, HL-2000-FHSA-LL", 
filter,noFilter, 
fiber_ill,UVIR600um2, 
white_ref,"WR1_Dr Lange, pressed barium sulphate powder", 
[ANALYSIS DATA], , 
Id,b.3021, 
background,wbg, 
1005,0.6128,
1006,0.6126,
1007,0.6125,
1008,0.6126,
1009,0.6127,
1010,0.6128,
1011,0.6126,
1012,0.6124,
1013,0.6122,
1014,0.6126,
1015,0.613,
1016,0.6134,
1017,0.6135,
1018,0.6136,
1019,0.6136,
1020,0.6139,
1021,0.6146,
1022,0.6153,
1023,0.6159,
1024,0.6162,
1025,0.6165,
1026,0.6168,
1027,0.6171,
1028,0.6173,
1029,0.6176,
1030,0.6178,
1031,0.6179,
1032,0.618,
1033,0.6182,
1034,0.6184,
1035,0.6185,
1036,0.6185,
1037,0.618,
1038,0.6175,
1039,0.617,
1040,0.6162,
1041,0.6154,
1042,0.6146,
1043,0.6146,
1044,0.6148,
1045,0.615,
1046,0.6148,
1047,0.6142,
1048,0.6136,
1049,0.6131,
1050,0.6126,
1051,0.6121,
1052,0.6116,
1053,0.6113,
1054,0.6109,
1055,0.6106,
1056,0.6102,
1057,0.6099,
1058,0.6096,
1059,0.6094,
1060,0.6091,
1061,0.6088,
1062,0.6086,
1063,0.6084,
1064,0.6082,
1065,0.6079,
1066,0.607,
1067,0.606,
1068,0.6052,
1069,0.6055,
1070,0.6058,
1071,0.606,
1072,0.6059,
1073,0.6058,
1074,0.6056,
1075,0.6064,
1076,0.6077,
1077,0.6091,
1078,0.6095,
1079,0.6086,
1080,0.6076,
1081,0.6069,
1082,0.6073,
1083,0.6077,
1084,0.6081,
1085,0.6043,
1086,0.6006,
1087,0.5968,
1088,0.5949,
1089,0.5934,
1090,0.5918,
1091,0.5896,
1092,0.587,
1093,0.5844,
1094,0.5813,
1095,0.5776,
1096,0.5739,
1097,0.5693,
1098,0.5615,
1099,0.5537,
1100,0.5459,
1101,0.5372,
1102,0.5285,
1103,0.5199,
1104,0.5077,
1105,0.4949,
1106,0.482,
1107,0.4672,
1108,0.4512,
1109,0.4353,
1110,0.4171,
1111,0.3962,
1112,0.3753,
1113,0.3541,
1114,0.3321,
1115,0.3102,
1116,0.2884,
1117,0.269,
1118,0.2497,
1119,0.2303,
1120,0.2149,
1121,0.1998,
1122,0.1848,
1123,0.1736,
1124,0.1639,
1125,0.1542,
1126,0.1464,
1127,0.1402,
1128,0.1341,
1129,0.129,
1130,0.1256,
1131,0.1222,
1132,0.1191,
1133,0.1172,
1134,0.1152,
1135,0.1132,
1136,0.1119,
1137,0.1105,
1138,0.1092,
1139,0.1081,
1140,0.1071,
